Kalimat #,text
38,complaint
38,staff
38,nya
38,bilang
38,belum
38,dibuatmalah
38,orang
38,yang
38,baru
38,datang
38,makanan
38,nya
38,sudah
38,datang
38,dan
38,mereka
38,mengakuitunggu
38,1
38,menit
38,lg
38,masih
38,belum
38,datang2
38,disuruh
38,nunggu
38,1
38,menit
38,lg
38,pelayanan
38,sangat
38,lambat
38,definetly
38,not
38,wort
38,it
39,suka
39,banget
39,suasananya
39,menunya
39,enak
39,paling
39,seneng
39,ngajakin
39,org
39,ketemu
39,di
39,sini
39,buat
39,kerja
39,jg
39,pas
39,bikin
39,betah
39,bener
39,ngerasain
39,suasana
39,bandung
39,yg
39,adem
39,hijau
40,disini
40,di
40,bagi
40,beberapa
40,menu
40,ada
40,menu
40,breakfast
40,lunch
40,dinner
40,jadi
40,makanannya
40,tergantung
40,kapan
40,kita
40,dateng
40,kesana
40,sejujurnya
40,lebih
40,menggiurkan
40,menu
40,lunch
40,but
40,pas
40,kesana
40,masih
40,jam
40,nya
40,breakfast
40,crocket
40,crab
40,salmon
40,start
40,from
40,3
40,for
40,food
40,untuk
40,rasaaa
40,ga
40,usah
40,diragukan
40,lagi
40,sih
40,mantulllll
40,semoga
40,lain
40,kali
40,bisa
40,datang
40,saat
40,menu
40,lunch
41,ambrogio
41,cafe
41,ini
41,tempatnya
41,spacious
41,interiornya
41,keren
41,bernuansa
41,industrial
41,yang
41,kekiniaan
41,furniturenya
41,di
41,dominasi
41,dengan
41,unsur
41,kayu
41,terasa
41,sangat
41,homey
41,outdoornya
41,sangat
41,asri
41,dan
41,instagramable
41,di
41,area
41,samping
41,ada
41,kolam
41,ikan
41,suka
41,banget
41,deh
41,dengan
41,ambiancenya
41,bikin
41,betah
41,pilihan
41,roti
41,cake
41,dan
41,pastrynya
41,cukup
41,banyak
41,dan
41,displaynya
41,bagus
41,dan
41,benar2
41,bikin
41,ngiler
41,harganya
41,pun
41,tidak
41,terlalu
41,mahal
41,untuk
41,breakfast
41,kali
41,ini
41,saya
41,pesan
41,cappucino
41,ice
41,tea
41,potato
41,hash
41,and
41,beef
41,bacon
41,chocolate
41,baileys
41,cinnamon
41,ambro
41,swirrl
41,croissant
41,kopinya
41,enak
41,tidak
41,terlalu
41,bold
41,dengan
41,chocolatey
41,taste
41,chocolate
41,baileysnya
41,juga
41,enak
41,deh
41,potato
41,hash
41,and
41,beef
41,bacon
41,perfect
41,for
41,breakfast
41,and
41,lunch
41,cinnamon
41,croissant
41,ukurannya
41,besar
41,padat
41,dengan
41,tekstur
41,lembut
41,enak
41,banget
41,dan
41,harganya
41,juga
41,murah
41,banget
41,one
41,of
41,my
41,fave
41,café
41,di
41,bandung
41,deh
41,ini
41,recommended
42,sengaja
42,kesini
42,setelah
42,lunch
42,ditempat
42,lain
42,hanya
42,untuk
42,nyobain
42,cakenya
42,biar
42,ala
42,ala
42,dessert
42,time
42,aku
